epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5804.29,0.95588,0.75755,1.16682,0.69553,0.55827,0.60515,0.41288,0.98264,20.9433,1.19334,0.004456,0.004456,0.004456
44,400.253,0.9042,0.69992,1.14267,0.69975,0.55234,0.60388,0.41221,0.98115,21.0825,1.19337,0.004324,0.004324,0.004324
45,798.594,0.91458,0.70017,1.14015,0.70909,0.54373,0.60463,0.41292,0.97805,21.1458,1.19105,0.004192,0.004192,0.004192
46,1196.87,0.90657,0.6985,1.14055,0.70719,0.54294,0.6035,0.41359,0.97603,21.2224,1.18922,0.00406,0.00406,0.00406
47,1594.81,0.90509,0.69111,1.13807,0.70324,0.54388,0.60412,0.41321,0.97501,21.3436,1.18913,0.003928,0.003928,0.003928
48,1993.86,0.89933,0.6899,1.13754,0.70668,0.53737,0.6031,0.41214,0.97476,21.4459,1.18853,0.003796,0.003796,0.003796
49,2391.94,0.90298,0.68715,1.13713,0.7205,0.53335,0.60321,0.41263,0.97477,21.5667,1.18769,0.003664,0.003664,0.003664
50,2788.47,0.90297,0.68776,1.13288,0.71589,0.53532,0.60387,0.41299,0.97458,21.6166,1.18783,0.003532,0.003532,0.003532
51,3185.18,0.89577,0.68165,1.13231,0.72172,0.53168,0.60435,0.41353,0.9741,21.6923,1.18771,0.0034,0.0034,0.0034
52,3581.9,0.90039,0.68771,1.13801,0.71518,0.53368,0.60394,0.41377,0.97335,21.8007,1.1876,0.003268,0.003268,0.003268
53,3978.24,0.9016,0.68266,1.1325,0.72276,0.53083,0.60384,0.41381,0.97308,21.8509,1.18717,0.003136,0.003136,0.003136
54,4374.8,0.90213,0.68497,1.1336,0.71739,0.5348,0.60378,0.41418,0.97306,21.9298,1.18727,0.003004,0.003004,0.003004
55,4771.48,0.89927,0.68524,1.13473,0.72467,0.53045,0.60452,0.41456,0.97278,21.9799,1.18727,0.002872,0.002872,0.002872
56,5167.26,0.90367,0.68793,1.13335,0.7177,0.53382,0.60511,0.41537,0.97205,21.9627,1.18664,0.00274,0.00274,0.00274
57,5564.76,0.89271,0.67506,1.12965,0.72413,0.52862,0.60565,0.41527,0.97177,21.9758,1.18639,0.002608,0.002608,0.002608
58,5962.29,0.88224,0.66544,1.12393,0.71852,0.53308,0.60643,0.41576,0.97065,21.9649,1.18576,0.002476,0.002476,0.002476
59,416.718,0.81406,0.59431,1.09405,0.71738,0.53212,0.60626,0.41556,0.97096,21.9955,1.18632,0.002344,0.002344,0.002344
60,834.258,0.82863,0.59745,1.09294,0.70936,0.53875,0.60616,0.41558,0.97132,22.0056,1.1868,0.002212,0.002212,0.002212
61,1260.17,0.82123,0.59901,1.09255,0.61807,0.53984,0.60667,0.41507,0.97159,22.0111,1.18723,0.00208,0.00208,0.00208
62,1679.8,0.8237,0.59497,1.09354,0.62455,0.54069,0.60666,0.41587,0.97228,22.0551,1.18793,0.001948,0.001948,0.001948
63,2099.9,0.82005,0.59485,1.09435,0.62433,0.54077,0.60657,0.41604,0.97252,22.0431,1.18802,0.001816,0.001816,0.001816
64,2518.3,0.82306,0.59313,1.09511,0.62246,0.54097,0.60678,0.41598,0.97261,22.0278,1.18802,0.001684,0.001684,0.001684
65,2935.42,0.82658,0.5926,1.09214,0.62096,0.54226,0.60743,0.41603,0.97266,22.035,1.18808,0.001552,0.001552,0.001552
66,3389.89,0.80969,0.51538,1.09082,0.62442,0.53986,0.60787,0.41589,0.97251,22.0278,1.18775,0.00142,0.00142,0.00142
67,3807.53,0.7932,0.50343,1.08134,0.62412,0.54041,0.60814,0.41617,0.97193,22.0492,1.18733,0.001288,0.001288,0.001288
68,4223.44,0.78207,0.4934,1.07437,0.6295,0.53731,0.60888,0.41637,0.97103,22.066,1.18649,0.001156,0.001156,0.001156
69,4637.36,0.76973,0.48121,1.06765,0.621,0.54205,0.60943,0.4167,0.97074,22.0789,1.18598,0.001024,0.001024,0.001024
70,5070.87,0.76058,0.47186,1.06109,0.61329,0.5474,0.61014,0.41692,0.97031,22.0974,1.18568,0.000892,0.000892,0.000892
71,5626.09,0.75392,0.46637,1.05957,0.61354,0.55073,0.61058,0.41748,0.96962,22.1482,1.18529,0.00076,0.00076,0.00076
72,6040.02,0.74598,0.45585,1.0523,0.61061,0.55815,0.61117,0.41746,0.96901,22.2006,1.18501,0.000628,0.000628,0.000628
73,6454.63,0.73593,0.44894,1.04824,0.61187,0.55727,0.6119,0.41768,0.96843,22.2504,1.18446,0.000496,0.000496,0.000496
74,7081.07,0.7309,0.44403,1.04467,0.617,0.55361,0.61179,0.41726,0.96794,22.2703,1.18438,0.000364,0.000364,0.000364
75,7586.96,0.72719,0.4368,1.04433,0.61567,0.55612,0.61254,0.41784,0.96746,22.302,1.18425,0.000232,0.000232,0.000232
